,Team 1,University
0,Watermelon Waddlers,Staffordshire University
1,Warwick Angels,University of Warwick
2,Hull Hornets,University of Hull
3,Bristol Hashtag...,University of Bristol
4,Portsmouth Paladins,University of Portsmouth
5,Lancaster Bombers,Lancaster University
6,UoL Arctic Foxes,University of Liverpool
7,Gaming,University of Southampton
8,Sheffield Dragons,University of Sheffield
9,Oxford Omnics,Oxford University
10,Durham Defenders,Durham University
11,Cardiff Crusaders,Cardiff University
12,Team 25,
13,Warwick Angles 2022,University of Warwick
14,Swansea Storm Black,Swansea University
15,OW SHU T1,Sheffield Hallam University
16,Strathers,University of Strathclyde
17,UWE Sea Stags Black,University of the West of England
18,UoB Apollo,University of Birmingham
19,UWE Sea Stags,University of the West of England
20,404v2,University of York
21,Glasgow Winstons fr,University of Glasgow
22,ManOW2T1,University of Manchester
23,Microwave,University of Liverpool
24,UEA Bluejays,University of East Anglia
25,Royal Glizzlies,"Royal Holloway, University of London"
26,LEEM_OW v2,University of Abertay Dundee
27,Essex Blades OW,University of Essex
28,Caledonian...,Glasgow Caledonian University
29,Kentsune,University of Kent
30,Keele Krakens,Keele University
31,MMU Minotaurs OW,Manchester Metropolitan University
32,Bath Bubbles,University of Bath
33,Exe on the Beach,University of Exeter
34,Genghis Swan,University of Lincoln
35,drywalldrinkers,Staffordshire University
36,based bois,Teesside University
37,Sussex Sharks,University of Sussex
38,Dundee Vanguard,University of Dundee
39,Beckett Bears,Leeds Beckett University
40,meow owoverwatch,King's College London
41,Leeds Gryphons,University of Leeds
42,Exepired,University of Exeter
43,CamDu Punters,University of Cambridge
44,Bristol Hashtag...,University of Bristol
45,DoughNotts 2,University of Nottingham
46,Plymouth...,University of Plymouth
47,Trent Thunder_Pink,Nottingham Trent University
48,Lincoln sIMPs,University of Lincoln
49,Nanoboost,Swansea University
50,Bath Bombers,University of Bath
51,Team 103,
52,Teesside Smoggies,Teesside University
53,Sheffield Wyverns,University of Sheffield
54,Clueless Crusaders,Cardiff University
55,Surrey Stags,University of Surrey
56,UEA Kingfishers,University of East Anglia
57,pompey bababo0ey,University of Portsmouth
58,Glasgow Pride,University of Glasgow
59,Ls2,University of Southampton
60,Heavens Rejects,University of Warwick
61,Yoshi Appreciators,University of Leeds
62,UoL Leicester...,University of Leicester
63,Watt Wyverns 2022,Heriot-Watt University
64,Warwick Pro Tractors,University of Warwick
65,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
66,Kent Believe It,University of Kent
67,Staffs Shadows,Staffordshire University
68,BCUseless,Birmingham City University
69,Only Bronzes,Manchester Metropolitan University
70,Chi_Noble,University of Chichester
71,ttvseanadofps,Imperial College London
72,Trent Thunder_Purple,Nottingham Trent University
73,DMU Team 1,De Montfort University
74,Dundee Rearguard,University of Dundee
75,Salford Lions OW,University of Salford
76,Last Night in Soho,Newcastle University
77,Aber Ult Spammers,Aberystwyth University
78,Derby Raptors Uni...,University of Derby
79,monke madness,University of Northampton
80,The Warwick...,University of Warwick
81,DurhamDoge,Durham University
82,Hopium,Queen Mary University of London
83,Bangor Team 1,Bangor University
84,Exestential Crisis,University of Exeter
85,Portsmouth Edge...,University of Portsmouth
86,Quayside KekWs,Newcastle University
87,QUB Team 1,Queen's University Belfast
88,Edinburgh Eclipse,University of Edinburgh
89,Plymouth...,University of Plymouth
90,Eboracum Warriors,York St John University
91,Team Valkyrie,University of Abertay Dundee
92,Euston Outlaws,University College London
93,Glasgow Switches,University of Glasgow
94,Glasgow Team Name...,University of Glasgow
95,Banned Bnet Bozos,University of York
96,BU Red Barracudas,Bournemouth University
97,Risky Biscuits,Bath Spa University
98,Brunel Basilisks,Brunel University
99,Tyneside Pog Frogs,Newcastle University
100,Edgy Sharks,University of Sussex
101,Oxford,Oxford University
102,Team Dynasty,Roehampton University
103,BU Blue Barracudas,Bournemouth University
104,Team 209,
105,And Dey Sayers,University of Sunderland
106,Kenthardt,University of Kent
107,UWL West London...,University of West London
108,BLANK,University of Bristol
109,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
110,CovPhoenix,Coventry University
111,Trent Thunder_Blue,Nottingham Trent University
112,UALSMOSHFANS2002,University of the Arts London
113,Baby Sharks,University of Sussex
114,Budget Crusaders,Cardiff University
115,Staffs LONDON,Staffordshire University
